"","budget","runtime","comedy","family","adventure","fantasy","drama","action","horror","documentary","scifi","actorMovieCount","directorMovieCount","directorEarnings","domestic","quarter","newyearsday","christmaseve","success_1_to_1"
"229",24078133.8007948,106,0,1,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
"230",9e+06,80,0,1,1,0,1,0,0,0,0,1,1,84460846,0,4,0,0,1
"231",24078133.8007948,75,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1
"232",1e+07,97,1,0,0,0,0,0,1,0,0,0,4,399903685,0,3,0,0,1
"233",5e+07,119,1,0,0,0,0,0,0,0,0,2,1,133346506,1,4,0,0,1
"234",24078133.8007948,119,0,0,0,0,1,0,0,0,0,9,2,95777588,0,4,0,0,1
"235",1.8e+07,94,1,0,0,0,1,0,0,0,0,0,1,30400,1,3,0,0,1
"236",24078133.8007948,92,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
"237",7500000,100,0,0,0,0,1,0,0,0,0,0,3,73708944,1,4,0,0,1
"238",25,145,0,0,0,0,1,0,0,0,0,0,1,38955598,1,4,0,0,0
"239",5.3e+07,102,0,0,0,0,1,0,0,0,0,1,1,6916869,1,2,0,0,0
"240",24078133.8007948,102,1,1,0,1,1,0,0,0,0,0,1,140987,0,3,0,0,1
"241",24078133.8007948,90,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"242",5e+06,96,0,0,0,0,0,0,1,0,0,3,1,242295562,1,1,0,0,1
"243",8e+06,89,0,0,0,0,0,0,1,0,0,2,8,398408431,0,3,0,0,1
"244",24078133.8007948,113,0,0,0,0,1,1,0,0,0,0,1,12400000,0,4,0,0,0
"245",24078133.8007948,117,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0
"246",5e+07,127,1,1,0,0,1,0,0,0,0,0,1,26657534,1,2,0,0,1
"247",4e+06,93,1,0,0,0,1,0,0,0,0,5,12,432672562,1,2,0,0,1
"248",8e+06,90,1,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0
"249",3e+07,130,0,0,0,0,1,0,0,0,0,0,3,595236346,1,4,0,0,0
"250",3.8e+07,95,1,0,0,0,1,1,0,0,0,8,3,80730702,0,2,0,0,1
"251",4e+06,119,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0
"252",1.1e+07,108,0,0,0,0,1,0,1,0,0,0,1,2227167,0,2,0,0,0
"253",3e+07,108,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
"254",12500000,120,0,0,0,0,1,0,0,0,0,0,1,64414761,1,4,0,0,1
"255",2.3e+07,114,1,0,0,0,1,0,0,0,0,0,1,32645546,1,4,0,0,0
"256",24078133.8007948,115,1,0,1,0,0,1,0,0,0,12,0,0,0,4,0,0,1
"257",24078133.8007948,110,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
"259",8e+05,105,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1
"260",5e+06,95,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"261",3e+07,138,0,0,0,0,1,0,0,0,0,6,15,1855365890,0,4,0,0,1
"262",891000,89,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"263",31500000,153,0,0,0,0,1,0,0,0,0,3,6,491592262,1,3,0,0,1
"264",24078133.8007948,102,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"265",6e+06,107,0,0,0,0,1,1,0,0,0,4,0,0,0,3,0,0,0
"266",24078133.8007948,117,0,0,0,0,1,0,0,0,0,1,2,173802340,0,1,0,0,0
"267",24078133.8007948,107.440816326531,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"268",8138338,125,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"269",3.1e+07,103,1,0,0,0,0,0,1,0,0,2,0,0,1,3,0,0,1
"270",1.2e+07,100,0,0,0,0,1,0,0,0,0,2,0,0,1,3,0,0,1
"271",44500000,120,0,0,0,0,1,0,0,0,0,3,1,22678555,1,4,0,0,1
"272",3e+06,117,0,0,0,0,1,0,0,0,0,1,4,53460471,1,4,0,0,1
"273",9200000,157,0,0,0,0,1,1,0,0,0,2,0,0,0,4,0,0,1
"274",24078133.8007948,113,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"276",1.8e+07,100,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
"277",3e+07,84,0,1,1,1,0,0,0,0,1,2,1,68411275,0,3,0,0,1
"278",24078133.8007948,71,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0
"279",3e+07,75,0,0,0,0,0,0,0,0,0,0,2,202360545,0,3,0,0,1
"280",1900000,130,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1
"281",5e+06,93,0,0,0,0,0,0,1,0,0,0,1,54418872,1,3,0,0,1
"282",5e+07,139,1,0,0,0,0,0,0,0,0,2,2,103710274,1,4,0,0,1
"283",24078133.8007948,102,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"284",2.8e+07,86,1,1,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0
"285",24078133.8007948,127,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"286",6e+06,101,0,0,0,0,1,0,0,0,0,0,1,73956241,0,3,0,0,1
"287",24078133.8007948,113,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"288",5e+07,132,0,0,1,0,0,1,0,0,0,3,3,466363200,1,4,0,0,0
"289",500,78,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"290",1800000,125,0,0,0,0,1,0,0,0,0,0,2,9600005,1,3,0,0,1
"291",8e+06,103,1,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0
"293",4e+07,149,0,0,0,0,1,0,0,0,0,2,3,164165912,1,3,0,0,1
"295",1.5e+07,97,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
"296",3e+07,115,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1
"297",1.4e+07,94,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"298",2.3e+07,76,0,1,0,1,0,0,0,0,1,0,1,3983912,0,4,0,0,0
"299",2.5e+07,121,1,0,0,0,1,0,0,0,0,1,0,0,1,4,0,1,1
"300",24078133.8007948,95,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
"301",1.4e+07,111,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0
"302",4900000,97,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"304",16500000,94,1,0,0,0,0,0,0,0,1,1,5,730611137,1,2,0,0,1
"305",7e+06,104,0,0,0,0,1,0,0,0,0,2,0,0,1,4,0,0,0
"306",8e+06,107,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1
"307",3e+07,131,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1
"308",2.8e+07,113,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1
"309",2e+07,103,0,0,0,0,1,0,0,0,0,6,0,0,0,3,0,0,1
"310",1.7e+07,98,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
"312",1.8e+07,161,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1
"313",24078133.8007948,102,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
"314",1.6e+07,130,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1
"315",1.2e+07,97,1,1,0,0,0,0,0,0,1,0,1,9109322,1,1,0,0,1
"316",5e+07,99,1,1,1,0,0,1,0,0,0,0,0,0,1,3,0,0,0
"317",6e+06,105,1,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,1
"318",2400000,153,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1
"319",24078133.8007948,96,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"320",1.9e+07,116,1,1,1,0,0,0,0,0,1,6,7,1759563585,1,3,0,0,1
"321",4e+07,118,1,1,1,0,0,0,0,0,1,3,5,1185232044,1,2,0,0,1
"323",4e+06,86,0,0,0,0,0,0,1,0,0,0,2,27515071,0,2,0,0,1
"324",1e+06,96,0,0,0,0,1,0,0,0,0,3,2,1656192,0,3,0,0,1
"325",2e+07,100,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1
